@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
426,3307,246,405,6327,0.06016,0.930763,0.890894,0.930763,0.109106,0.910392,0.360914,2.578905,0.265385
427,3307,246,404,6328,0.060012,0.930763,0.891134,0.930763,0.108866,0.910518,0.360817,2.5796,0.265538
428,3307,246,403,6329,0.059863,0.930763,0.891375,0.930763,0.108625,0.910643,0.360719,2.580295,0.266667
429,3306,247,403,6329,0.059863,0.930481,0.891345,0.930481,0.108655,0.910493,0.360622,2.58021,0.268143
430,3306,247,402,6330,0.059715,0.930481,0.891586,0.930481,0.108414,0.910618,0.360525,2.580906,0.268437
431,3305,248,402,6330,0.059715,0.9302,0.891557,0.9302,0.108443,0.910468,0.360428,2.580821,0.27
432,3297,256,391,6341,0.058081,0.927948,0.89398,0.927948,0.10602,0.910648,0.35858,2.587838,0.270333
433,3296,257,391,6341,0.058081,0.927667,0.893952,0.927667,0.106048,0.910497,0.358483,2.587755,0.271283
434,3296,257,390,6342,0.057932,0.927667,0.894194,0.927667,0.105806,0.910623,0.358386,2.588457,0.279167
435,3296,257,389,6343,0.057784,0.927667,0.894437,0.927667,0.105563,0.910749,0.358289,2.589159,0.279583
436,3295,258,389,6343,0.057784,0.927385,0.894408,0.927385,0.105592,0.910598,0.358192,2.589077,0.28
