@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
80,6728,4,3253,300,0.915564,0.999406,0.674081,0.999406,0.325919,0.805122,0.970442,1.029846,0.054167
81,6728,4,3252,301,0.915283,0.999406,0.674148,0.999406,0.325852,0.80517,0.970345,1.029949,0.0544
82,6728,4,3251,302,0.915001,0.999406,0.674216,0.999406,0.325784,0.805218,0.970248,1.030052,0.054444
83,6728,4,3250,303,0.91472,0.999406,0.674283,0.999406,0.325717,0.805266,0.970151,1.030155,0.055
84,6728,4,3247,306,0.913876,0.999406,0.674486,0.999406,0.325514,0.805411,0.969859,1.030465,0.056
85,6728,4,3245,308,0.913313,0.999406,0.674621,0.999406,0.325379,0.805507,0.969665,1.030672,0.0575
86,6728,4,3244,309,0.913031,0.999406,0.674689,0.999406,0.325311,0.805556,0.969567,1.030775,0.057681
87,6728,4,3243,310,0.91275,0.999406,0.674757,0.999406,0.325243,0.805604,0.96947,1.030878,0.057857
88,6728,4,3242,311,0.912468,0.999406,0.674824,0.999406,0.325176,0.805652,0.969373,1.030982,0.058
89,6728,4,3241,312,0.912187,0.999406,0.674892,0.999406,0.325108,0.8057,0.969276,1.031085,0.058333
90,6728,4,3240,313,0.911905,0.999406,0.67496,0.999406,0.32504,0.805749,0.969178,1.031189,0.058947
91,6728,4,3239,314,0.911624,0.999406,0.675028,0.999406,0.324972,0.805797,0.969081,1.031292,0.059091
92,6728,4,3238,315,0.911343,0.999406,0.675095,0.999406,0.324905,0.805845,0.968984,1.031396,0.059167
93,6728,4,3237,316,0.911061,0.999406,0.675163,0.999406,0.324837,0.805893,0.968887,1.031499,0.059231
94,6728,4,3236,317,0.91078,0.999406,0.675231,0.999406,0.324769,0.805942,0.968789,1.031603,0.06
95,6728,4,3188,365,0.89727,0.999406,0.678499,0.999406,0.321501,0.808265,0.964123,1.036596,0.060368
96,6728,4,3187,366,0.896988,0.999406,0.678568,0.999406,0.321432,0.808314,0.964025,1.036701,0.060769
97,6728,4,3186,367,0.896707,0.999406,0.678636,0.999406,0.321364,0.808362,0.963928,1.036805,0.061667
98,6728,4,3185,368,0.896426,0.999406,0.678705,0.999406,0.321295,0.808411,0.963831,1.03691,0.062727
99,6728,4,3183,370,0.895863,0.999406,0.678842,0.999406,0.321158,0.808508,0.963636,1.037119,0.063333
100,6728,4,3180,373,0.895018,0.999406,0.679047,0.999406,0.320953,0.808654,0.963345,1.037433,0.063333
101,6728,4,3179,374,0.894737,0.999406,0.679116,0.999406,0.320884,0.808702,0.963247,1.037538,0.063889
102,6728,4,3178,375,0.894455,0.999406,0.679184,0.999406,0.320816,0.808751,0.96315,1.037643,0.064286
103,6728,4,3176,377,0.893892,0.999406,0.679321,0.999406,0.320679,0.808848,0.962956,1.037852,0.064416
104,6728,4,3175,378,0.893611,0.999406,0.67939,0.999406,0.32061,0.808897,0.962859,1.037957,0.0645
105,6728,4,3174,379,0.89333,0.999406,0.679459,0.999406,0.320541,0.808946,0.962761,1.038062,0.065
106,6728,4,3170,383,0.892204,0.999406,0.679733,0.999406,0.320267,0.80914,0.962372,1.038481,0.066
107,6727,5,3169,384,0.891922,0.999257,0.67977,0.999257,0.32023,0.809117,0.962178,1.038537,0.066364
108,6727,5,3168,385,0.891641,0.999257,0.679838,0.999257,0.320162,0.809166,0.962081,1.038642,0.066429
109,6727,5,3167,386,0.891359,0.999257,0.679907,0.999257,0.320093,0.809214,0.961983,1.038747,0.067083
110,6727,5,3166,387,0.891078,0.999257,0.679976,0.999257,0.320024,0.809263,0.961886,1.038852,0.067254
111,6727,5,3165,388,0.890797,0.999257,0.680044,0.999257,0.319956,0.809312,0.961789,1.038957,0.0675
112,6727,5,3163,390,0.890234,0.999257,0.680182,0.999257,0.319818,0.809409,0.961595,1.039167,0.068578
113,6727,5,3162,391,0.889952,0.999257,0.680251,0.999257,0.319749,0.809458,0.961497,1.039272,0.069
114,6727,5,3161,392,0.889671,0.999257,0.68032,0.999257,0.31968,0.809507,0.9614,1.039377,0.069
115,6727,5,3159,394,0.889108,0.999257,0.680457,0.999257,0.319543,0.809604,0.961206,1.039587,0.069286
